Style No,Style Long Description,Back,Back,Back 2,Back 2,Back 2,Back 2,Edge,Edge,Edge,Edge,Edge 2,Edge 2,Edge 2,Edge 2,Front,Main,Main,Main,Main 2,Main 2,Main 2,Main 2,Model,Model,Model,Model,Model,Model,Model,Model 2,Profile,Profile,Top,Top,Assortment_Type,caratage_of_predom_mat_1,caratage_of_predom_mat_2,caratage_of_predom_mat_3,Closure Type,Commercial Reference,Country of Origin,Diamond Carat Weight,Fish_&_Wild,funct_hier_lvl4_item_shape,Gender,item_note,Launch Date - Wholesales (US),man_made_stones,measure_1,measure_3,measure_4,measure_5,merch_hier_lv2_sub_collection,merch_hier_lvl_collection,NFR Size Code,NRF_color_code,Predominant_Color_Descr,Primary Material,Product Description,Product Type,Retail Price,Retail Price - Dollar Sign,sales_life_cycle,season,Season Code,season_year,Size,stone_id_1,stone_id_2,stone_id_3,stone_id_4,supply_life_cycle,UPC Code,Variant No,Vendor Name,salsify:profile_asset_id
BB904CXM,"WOMEN's Classic Chain Silver Small Bracelet, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--0IDeNhO3--/yia64pqqptfxbyrbzwtd.jpg,http://images.salsify.com/image/upload/s--HGoj2_zE--/wauyhjuj2qo4ozdunpgj.jpg,,,,,,http://images.salsify.com/image/upload/s--hHLFx4OH--/ivkqkbqa7kcvywksoj6i.jpg,http://images.salsify.com/image/upload/s--HP5rX1Ps--/ef83g30fxwl0g9c32kpl.jpg,,,,,,,,,,,CORE,,,,Pusher Clasp,BB904CXM,ID,0,No,Woven,WOMEN,,2/1/1996,No,0,6.5,0,0,Classic,Chain,78014,,,Silver,Classic Chain 6.5MM Bracelet in Silver,Bracelet,550,$,Active,FALL,F95,1995,M,,,,,Star,8.25429E+12,1_407_118904,John Hardy,
BB904CXS,"WOMEN's Classic Chain Silver Small Bracelet, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--0IDeNhO3--/yia64pqqptfxbyrbzwtd.jpg,http://images.salsify.com/image/upload/s--HGoj2_zE--/wauyhjuj2qo4ozdunpgj.jpg,,,,,,http://images.salsify.com/image/upload/s--hHLFx4OH--/ivkqkbqa7kcvywksoj6i.jpg,http://images.salsify.com/image/upload/s--HP5rX1Ps--/ef83g30fxwl0g9c32kpl.jpg,,,,,,,,,,,CORE,,,,Pusher Clasp,BB904CXS,ID,0,No,Woven,WOMEN,,2/1/1996,No,0,6.5,0,0,Classic,Chain,78013,,,Silver,Classic Chain 6.5MM Bracelet in Silver,Bracelet,550,$,Active,FALL,F95,1995,S,,,,,Star,8.25429E+12,1_407_118904,John Hardy,
BB904GCXM,"WOMEN's Classic Chain Gold & Silver Small Chain Bracelet with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--fkbP9aLL--/rwvlsq4cqzirymdocugz.jpg,http://images.salsify.com/image/upload/s--8StcXY0L--/hjzr2yhr7igbfacdoya6.jpg,,,,,,http://images.salsify.com/image/upload/s--LppoDx3w--/xl3dcsq9zl3awxhowo1j.jpg,http://images.salsify.com/image/upload/s--mwyDSxa8--/vojbsbnjicfrfope19ba.jpg,,,,,,,,,,,CORE,,18k,,Pusher Clasp,BB904GCXM,ID,0,No,Woven,WOMEN,,1/25/2016,No,0,6.5,0,0,Classic,Chain,78014,,,Silver and Gold,Classic Chain 6.5MM Bracelet in Silver and 18K Gold,Bracelet,950,$,Active,SPRING,S16,2016,M,,,,,Star,8.25429E+12,1_355_1189041,John Hardy,
BB93269XS,"WOMEN's Modern Chain Silver Small Bracelet 8mm with Pusher Clasp, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--ClWWwt81--/s9vuzesbxzuxf4o9tor4.jpg,http://images.salsify.com/image/upload/s--U8IQUjZ6--/ijkreb6lywwzjsvdnx3b.jpg,,,,,,http://images.salsify.com/image/upload/s--EdHoWWlD--/fmjejq8njlwfzieixtqd.jpg,http://images.salsify.com/image/upload/s--j4u1zVJP--/rsehz0usydl9thh8ilak.jpg,,,,,,,,,,,CORE,,,,Pusher Clasp,BB93269XS,ID,0,,Link,WOMEN,,7/20/2016,No,0,8,0,0,Modern,Chain,78013,,,Silver,Modern Chain 8MM Bracelet in Silver,Bracelet,595,$,Active,FALL,F16,2016,S,,,,,Star,8.25429E+12,BB93269,John Hardy,
BB93270XM,"WOMEN's Modern Chain Silver Medium Bracelet 11mm with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--6OnPOaqN--/eut2gvuuygaqvrh8vdbs.jpg,http://images.salsify.com/image/upload/s--vDalf-u9--/mk9ernsk5t8fdbtkhgiy.jpg,,,,,,http://images.salsify.com/image/upload/s--sYpK-_H2--/w6d9hllfoik2ykar8vam.jpg,http://images.salsify.com/image/upload/s--ufuZT5xl--/b63kk2ltdeyabeukn7in.jpg,,,,,,,,,,,CORE,,,,Pusher Clasp,BB93270XM,ID,0,,Link,WOMEN,,7/20/2016,No,0,11,0,0,Modern,Chain,78014,,,Silver,Modern Chain 11MM Bracelet in Silver,Bracelet,795,$,Active,FALL,F16,2016,M,,,,,Star,8.25429E+12,BB93270,John Hardy,
BB94556BRDXM,"WOMEN's Modern Chain Silver Small Hinged Bangle with Black Rhodium Plating, Size M",,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--u7gfuD6J--/gniwkgdq5wj0n4tyj5rd.jpg,,,,,,,,,,,,NON CORE,,,,,BB94556BRDXM,TH,0,No,Bangle,WOMEN,,10/1/2017,No,0,8,0,0,Modern,Chain,78014,,,Silver,Modern Chain 8MM Hinged Bangle in Blackened Silver,Bracelet,478.5,$,Active,FALL,F17-CO,2017,M,,,,,Star,8.25429E+12,BB94556B,John Hardy,
BB94556XM,"WOMEN's Modern Chain Silver Small Hinged Bangle, Size M",,,,,,,,,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--HsO8zqjg--/cnvpdgd93z0nxgm5slvk.jpg,,,,,,,,,,,,CORE,,,,,BB94556XM,ID,0,No,Bangle,WOMEN,,10/1/2017,No,0,8,0,0,Modern,Chain,78014,,,Silver,Modern Chain 8MM Hinged Bangle in Silver,Bracelet,695,$,Active,FALL,F17-CO,2017,M,,,,,Star,8.25429E+12,BB94556,John Hardy,
BB95311XM,"WOMEN's Bamboo Silver Station Bracelet, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--gEh5P459--/rfjxlckpyk8gav6bnhun.jpg,http://images.salsify.com/image/upload/s--VzwCdNK6--/hxnlzlxonmtwzxulvyay.jpg,,,,,,http://images.salsify.com/image/upload/s--k9lfzoBO--/a03a8f6sdyh0ksslcmhj.jpg,http://images.salsify.com/image/upload/s--kLoyGVwK--/imns9f0ufo04cbbganfs.jpg,,,,,,,,,,,CORE,,,,Pusher Clasp,BB95311XM,ID,0,No,Station,WOMEN,,8/1/2007,No,0,4,42,6,Bamboo,Bamboo,78014,,,Silver,Bamboo 4MM Bracelet in Silver,Bracelet,475,$,Active,SPRING,S01,2001,M,,,,,Star,8.25429E+12,1_381_11895311,John Hardy,
BB96184XM,"WOMEN's Classic Chain Hammered Silver Extra Small Chain Bracelet with Pusher Clasp, Size M",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--hCZJTdsm--/e52pmewm8lhasam29jyf.jpg,http://images.salsify.com/image/upload/s--AJLUFNZ3--/zx2ajogxzmmpdabfe4wn.jpg,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BB96184XM,ID,0,No,Woven,WOMEN,,10/1/2016,No,0,5,0,0,Classic,Chain,78014,,,Silver,Classic Chain 5MM Hammered Clasp Bracelet in Silver,Bracelet,450,$,Active,FALL,F16-CO,2016,M,,,,,Star,8.25429E+12,BB96184,John Hardy,
BB96184XS,"WOMEN's Classic Chain Hammered Silver Extra Small Chain Bracelet with Pusher Clasp, Size S",,,,,,,,,,,,,,,,http://images.salsify.com/image/upload/s--hCZJTdsm--/e52pmewm8lhasam29jyf.jpg,http://images.salsify.com/image/upload/s--AJLUFNZ3--/zx2ajogxzmmpdabfe4wn.jpg,,,,,,,,,,,,,,,,,,NON CORE,,,,Pusher Clasp,BB96184XS,ID,0,No,Woven,WOMEN,,10/1/2016,No,0,5,0,0,Classic,Chain,78013,,,Silver,Classic Chain 5MM Hammered Clasp Bracelet in Silver,Bracelet,450,$,Active,FALL,F16-CO,2016,S,,,,,Star,8.25429E+12,BB96184,John Hardy,
